카테고리코드,1차카테고리명,2차카테고리명,3차카테고리명,4차카테고리명
50000007,스포츠/레저,,,
50000027,스포츠/레저,등산,,
50001768,스포츠/레저,등산,등산화,
50001096,스포츠/레저,등산,등산의류,
50002627,스포츠/레저,등산,등산의류,재킷
50002628,스포츠/레저,등산,등산의류,점퍼
50002629,스포츠/레저,등산,등산의류,조끼
50002630,스포츠/레저,등산,등산의류,반팔티셔츠
50002631,스포츠/레저,등산,등산의류,긴팔티셔츠
50002632,스포츠/레저,등산,등산의류,바지
50002633,스포츠/레저,등산,등산의류,세트
50002634,스포츠/레저,등산,등산의류,기능성언더웨어
50001769,스포츠/레저,등산,등산가방,
50001098,스포츠/레저,등산,등산장비,
50002639,스포츠/레저,등산,등산장비,아이젠
50002640,스포츠/레저,등산,등산장비,스패츠
50002641,스포츠/레저,등산,등산장비,나침반
50002642,스포츠/레저,등산,등산장비,로프
50002643,스포츠/레저,등산,등산장비,GPS
50002645,스포츠/레저,등산,등산장비,스틱
50002646,스포츠/레저,등산,등산장비,카라비너
50002647,스포츠/레저,등산,등산장비,손난로
50002648,스포츠/레저,등산,등산장비,핫팩
50001097,스포츠/레저,등산,등산잡화,
50002635,스포츠/레저,등산,등산잡화,모자
50002636,스포츠/레저,등산,등산잡화,장갑
50002637,스포츠/레저,등산,등산잡화,양말
50001303,스포츠/레저,등산,기타등산장비,
50000028,스포츠/레저,캠핑,,
50001099,스포츠/레저,캠핑,텐트,
50002649,스포츠/레저,캠핑,텐트,1-2인용
50002650,스포츠/레저,캠핑,텐트,2-3인용
50002651,스포츠/레저,캠핑,텐트,3-4인용
50002652,스포츠/레저,캠핑,텐트,4-5인용
50003279,스포츠/레저,캠핑,텐트,5-6인용
50002653,스포츠/레저,캠핑,텐트,6-7인용
50002654,스포츠/레저,캠핑,텐트,7-8인용
50002655,스포츠/레저,캠핑,텐트,9인용 이상
50001770,스포츠/레저,캠핑,타프,
50009360,스포츠/레저,캠핑,텐트/타프용품,
50009380,스포츠/레저,캠핑,텐트/타프용품,방수포/그라운드시트
50009400,스포츠/레저,캠핑,텐트/타프용품,폴대
50009401,스포츠/레저,캠핑,텐트/타프용품,스트링/로프
50009402,스포츠/레저,캠핑,텐트/타프용품,기타텐트/타프용품
50001771,스포츠/레저,캠핑,천막,
50001775,스포츠/레저,캠핑,침낭,
50005341,스포츠/레저,캠핑,캠핑매트,
50001100,스포츠/레저,캠핑,랜턴,
50002656,스포츠/레저,캠핑,랜턴,손전등
50002657,스포츠/레저,캠핑,랜턴,실내등
50002658,스포츠/레저,캠핑,랜턴,헤드랜턴
50009281,스포츠/레저,캠핑,랜턴,랜턴걸이/스탠드
50001101,스포츠/레저,캠핑,취사용품,
50002659,스포츠/레저,캠핑,취사용품,코펠
50002660,스포츠/레저,캠핑,취사용품,버너
50002662,스포츠/레저,캠핑,취사용품,더치오븐
50002663,스포츠/레저,캠핑,취사용품,바비큐그릴/화로대
50002666,스포츠/레저,캠핑,취사용품,휴대용가스레인지
50002664,스포츠/레저,캠핑,취사용품,캠핑컵
50009440,스포츠/레저,캠핑,취사용품,캠핑주전자
50009420,스포츠/레저,캠핑,취사용품,다용도칼
50009460,스포츠/레저,캠핑,취사용품,수저/커트러리
50009480,스포츠/레저,캠핑,취사용품,설거지용품
50002665,스포츠/레저,캠핑,취사용품,연료
50006384,스포츠/레저,캠핑,취사용품,부탄가스
50002667,스포츠/레저,캠핑,취사용품,기타취사용품
50009500,스포츠/레저,캠핑,캠핑가구,
50009361,스포츠/레저,캠핑,캠핑가구,캠핑테이블
50009421,스포츠/레저,캠핑,캠핑가구,캠핑의자
50009520,스포츠/레저,캠핑,캠핑가구,테이블세트
50009540,스포츠/레저,캠핑,캠핑가구,캠핑박스
50009341,스포츠/레저,캠핑,캠핑가구,파라솔
50009342,스포츠/레저,캠핑,캠핑가구,야전침대
50009343,스포츠/레저,캠핑,캠핑가구,해먹
50009182,스포츠/레저,캠핑,캠핑왜건,
50009740,스포츠/레저,캠핑,아이스박스,
50001304,스포츠/레저,캠핑,기타캠핑용품,
50000029,스포츠/레저,골프,,
50001102,스포츠/레저,골프,골프클럽,
50002668,스포츠/레저,골프,골프클럽,드라이버
50002669,스포츠/레저,골프,골프클럽,페어웨이우드
50002670,스포츠/레저,골프,골프클럽,아이언
50002782,스포츠/레저,골프,골프클럽,하이브리드/유틸리티
50002783,스포츠/레저,골프,골프클럽,웨지
50002784,스포츠/레저,골프,골프클럽,치퍼
