1,5600,6900
1.5,7000,8400
2,7000,9700
2.5,8400,11100
3,8400,12400
3.5,9700,13700
4,9700,15000
4.5,11000,16300
5,11000,17600
5.5,12200,18800
6,12200,20100
6.5,13500,21400
7,13500,22700
7.5,14600,23800
8,14600,25100
8.5,16000,26500
9,16000,27800
9.5,17200,29000
10,17200,30300
10.5,18500,31600
11,18500,32900
11.5,20000,34400
12,20000,35700
12.5,21200,36900
13,21200,38200
13.5,22400,39400
14,22400,40700
14.5,23800,42100
15,23800,43400
15.5,25300,44900
16,25300,46200
16.5,26600,47500
17,26600,48800
17.5,27900,50100
18,27900,51400
18.5,29200,52700
19,29200,54000
19.5,30500,55300
20,30500,56600
